addr,name,amount,ss
xch1ekda5gt6t32dftrhggyusgls2z86vv3j2fcu0n08ztuynmxe98xsy5rq8k,BSH,1600000000,
xch1rwz55l89zzg7gt79h6u2hsnn4s9xag3zqkdcjn49u8e63lgduszq703f94,BSH,1600000000,
xch1n9zhh0c7smgu4cy25an5t5vpd4d5p2lsstqam3d93wdz79le9u4q04hz90,BSH,1600000000,
xch1cvt2csdjk9sxnhgncxlzve30uw06kqfwcaelxwfwtz8xml70k3gs6p4x5f,BSH,1700000000,
xch1ekft3x72lzuxmatfem0khlg2x5qc6ucyfrtj7hd07lfgd8ksz7cq9z6899,BSH,1700000000,
xch150kezqnlvmcafel6h72tymrv8kch8dh707m3es3ya9kntququrhqfu0jc6,BSH,1700000000,
xch149gxxafqdzv94u26faznfc2njvwnnn4qnjjlzkszcy67vxrvk4jqhgwu29,BSH,1700000000,
xch1fwc9lx4rltlufd48vjr8hw83rcrpear6g4xvu5vuwak9y7j86l9qq78utz,BSH,1730000000,
xch1y954v2xk6y8lpn8a8uumpnjkqe7d298f0ps4l69d7rz67mex07mqny8yh0,BSH,1740334340,
xch1crwg0ryz5rf90a6xmmspza2jmhc437sllnen8m7nu2dlx7ugjs9qaxgyjw,BSH,1760001000,
xch1x4qm9m8pkq2zx7wcquztflewnjqy2ufr247cnpmyzq6gr59zcynq2hy69t,BSH,1810000000,
xch158lkeux47s36u9a6lz9w4cs2sddrylqljswel8lkf7krwn9xgl8qyhdm8d,BSH,2000000000,
