addr,name,amount,ss
xch1k65pye28q0v3v96u9zx72fwhw8amrkh8hn6dcrk35nysuh8yxqzqlm48jr,BSH,38000,
xch1ugzsdc8z9wevncfyzkn58r20w88tv5kzynm2pqzt0x5du0v5umkqhg2y7p,BSH,38060,
xch1hs860zf3agyf8jm54uggnkcd9pau629sxyc6p7uecac9ltcp52nqeefjym,BSH,50000,
xch1lpd7sqftlpnfcdp3atus0k3lwaf8z5eed02cyxmyfz0yp722mnyqxgsnfe,BSH,78087,
xch1kj5gvmtl8xc874lkxdnvf9js4c262pk5jdnt42mqcv4nkqqt3m5s2gee6z,BSH,110000,
xch1xjk5un8kagenz9lrrc93akcr69f96eq9qg0zczedyhxvr5cata9sf4nwvv,BSH,136416,
xch1jvnjhn53arkup0v5gguwpzs84dm6fjmldy7g0wx8zvx39ggqhh7sf4j9d4,BSH,201000,
xch1506k2fyej3apmmvatfx0hmw7rn4cpzqe7tdelat6mt6r2ks93exs2stvdp,BSH,250000,
xch1f3su4ljevkgnmcm9tnr22q27cxt2rnu0u9jju223y305mty7q8rqc9yqy9,BSH,308085,
xch1rftnq20ykjc2vgj4s2axykjsfdkpdd6fjjucz0p4fw5teu26n9cstl8hf6,BSH,311890,
xch1jv2enl5chq44dd3x0nedy02ymhkze2y223y99x40nulczgllyjmqdksq6w,BSH,400000,
xch1v46uphwwvhtw27as9l0awt50tanuzqh8tw5nl8gw4qrg2c2rmcsqwyfcdh,BSH,401000,
xch1jt7zasf76paav8k9zzkltglllvumsrf7wp6ehnpqlkqww2qx0n8s23hv2n,BSH,480000,
xch1tp0hf5t8htd6k8sqre7re66ay2hrpegtezv9y3xzsw47z7mcn5uspdfm2e,BSH,546868,
xch1qc2p9pnkrhr6fnvks3s5cett00ykv64482ud7qge9ftqj6jmgqgqyap4hg,BSH,875000,
xch1v9cl9u2yp9lhjk7u3sswhsa54jequmjw9k5y3fdayk4s84as9ecq880jz3,BSH,880000,
xch16xa6ykywhzpw9532tp4j8kze5qh8578yzar6xc9augvquq7qsukqlynn5s,BSH,888000,
xch1s2hrm3ekp3nn0c36m0wv2u2w5kf3tel4jppfm33pxwcc9cv2kstq7y4lv3,BSH,888000,
